,run,name,time,value
89,0,tDistribution,"[ 10001.1936977   10004.14215048  10004.22596446 ... 249997.22459781
 249998.49278828 249999.30575055]",[2.94845278 0.08381398 0.1651474  ... 1.26819048 0.81296226 0.96193479]
90,0,tDistribution,"[ 10001.23502704  10005.18624077  10005.43876859 ... 249997.41471036
 249997.78713988 249998.55555481]",[3.95121373 0.25252782 2.67348889 ... 0.37242952 0.76841493 1.89275385]
91,0,tDistribution,"[ 10001.26141626  10002.90458725  10002.95746909 ... 249993.16242604
 249994.44747021 249996.28214685]",[1.64317099 0.05288184 1.66024637 ... 1.28504417 1.83467664 3.90847925]
92,0,tDistribution,"[ 10001.2954564   10004.34961585  10005.53798371 ... 249999.29065023
 249999.6364929  249999.66490309]",[3.05415945 1.18836786 2.75912075 ... 0.34584268 0.02841019 0.4030879 ]
93,0,tDistribution,"[ 10001.33874892  10004.8799563   10008.95817813 ... 249996.80733406
 249997.37656441 249998.42315572]",[3.54120738 4.07822183 0.15850651 ... 0.56923035 1.0465913  1.84803762]
94,0,tDistribution,"[ 10001.40004885  10001.55742716  10002.44642449 ... 249998.96895942
 249999.4910716  249999.84649244]",[0.15737831 0.88899732 0.59959376 ... 0.52211218 0.35542084 1.16602025]
95,0,tDistribution,"[ 10001.4057455   10003.01933453  10003.03356235 ... 249994.56921354
 249994.78531551 249994.98042507]",[1.61358904 0.01422782 3.13493552 ... 0.21610198 0.19510956 5.10617872]
96,0,tDistribution,"[ 10001.44856433  10001.45453109  10002.0679361  ... 249998.72426437
 249999.17068517 249999.39947434]",[0.00596676 0.61340501 1.01610583 ... 0.4464208  0.22878918 1.29084944]
97,0,tDistribution,"[ 10001.50639876  10001.90663072  10001.90886889 ... 249996.0270613
 249996.78178431 249999.47270541]","[4.00231959e-01 2.23817388e-03 8.68653006e-01 ... 7.54723013e-01
 2.69092110e+00 7.66776138e-01]"
98,0,tDistribution,"[ 10001.51174147  10003.86201198  10004.15651695 ... 249999.02070824
 249999.44620991 249999.75846972]",[2.35027051 0.29450497 1.65823446 ... 0.42550168 0.31225981 0.40225522]
99,0,tDistribution,"[ 10001.52836011  10003.03449559  10003.60996203 ... 249999.15734117
 249999.20798386 249999.45283276]",[1.50613547 0.57546644 1.47592222 ... 0.05064269 0.2448489  1.51221586]
100,0,tDistribution,"[ 10001.56477857  10002.31686511  10002.65297324 ... 249997.92329595
 249998.32350979 249998.9103853 ]","[7.52086549e-01 3.36108126e-01 1.07083149e-04 ... 4.00213834e-01
 5.86875513e-01 5.00278300e+00]"
101,0,tDistribution,"[ 10001.57178757  10001.60854756  10001.75351673 ... 249998.25867816
 249998.90114891 249999.1076368 ]",[0.03675999 0.14496917 0.36227479 ... 0.64247075 0.2064879  1.0675495 ]
106,0,tDistribution,"[ 10001.68385166  10002.80884196  10003.77158488 ... 249994.69740634
 249996.62344928 249998.18214798]",[1.1249903  0.96274292 0.35878399 ... 1.92604294 1.5586987  2.56655382]
111,0,tDistribution,"[ 10001.80628215  10002.14954819  10003.02764743 ... 249997.6285556
 249998.70199078 249998.85999139]",[0.34326604 0.87809924 0.59767367 ... 1.07343518 0.15800061 1.57527247]
112,0,tDistribution,"[ 10001.84588952  10002.77601926  10003.6291135  ... 249997.41684429
 249998.07943953 249999.66460245]",[0.93012974 0.85309424 0.61326706 ... 0.66259524 1.58516292 0.42363666]
113,0,tDistribution,"[ 10001.97917847  10003.03925289  10003.36888098 ... 249997.10537438
 249997.5645064  249997.84439785]",[1.06007441 0.3296281  0.22098119 ... 0.45913202 0.27989144 2.76265166]
114,0,tDistribution,"[ 10002.02817488  10002.47870931  10005.94499679 ... 249997.30050484
 249998.16497644 249998.64433529]",[0.45053443 3.46628748 0.66680958 ... 0.8644716  0.47935885 1.74693622]
115,0,tDistribution,"[ 10002.06363911  10002.18412624  10002.76845797 ... 249995.99166791
 249997.76224628 249999.32627802]",[0.12048714 0.58433172 0.26286747 ... 1.77057836 1.56403174 0.70550068]
116,0,tDistribution,"[ 10002.16092155  10003.00884068  10004.47156813 ... 249997.70172515
 249998.65700167 249999.28317803]",[0.84791914 1.46272745 1.8788046  ... 0.95527652 0.62617636 1.02299597]
117,0,tDistribution,"[ 10002.16412922  10004.31464891  10004.82427397 ... 249997.90580474
 249998.1468312  249999.39017651]",[2.15051969 0.50962505 0.89632861 ... 0.24102646 1.24334531 2.83079703]
118,0,tDistribution,"[ 10002.20060462  10003.98843509  10004.18674323 ... 249998.85868616
 249999.26383664 249999.61746558]",[1.78783047 0.19830814 1.49153559 ... 0.40515047 0.35362895 0.9836825 ]
119,0,tDistribution,"[ 10002.30791682  10003.3955283   10003.72829114 ... 249999.0881489
 249999.69342414 249999.88259071]",[1.08761148 0.33276284 1.6539     ... 0.60527525 0.18916657 0.13773013]
120,0,tDistribution,"[ 10002.33613799  10003.0006      10003.18592156 ... 249998.27604778
 249998.50694445 249998.78359286]",[0.66446201 0.18532156 0.93993927 ... 0.23089667 0.27664841 1.3515327 ]
121,0,tDistribution,"[ 10002.3702743   10004.96157201  10005.11489145 ... 249996.48161384
 249999.03104206 249999.0753747 ]",[2.59129771 0.15331944 0.25798387 ... 2.54942822 0.04433264 1.13878142]
122,0,tDistribution,"[ 10002.58953596  10004.53783133  10005.83545574 ... 249996.65233763
 249998.1585332  249999.2328535 ]",[1.94829537 1.29762441 0.16206101 ... 1.50619557 1.0743203  2.54942497]
123,0,tDistribution,"[ 10002.69591207  10004.00703805  10004.48360707 ... 249996.32992798
 249997.97239984 249999.00463992]",[1.31112598 0.47656902 0.32544203 ... 1.64247186 1.03224008 4.73565736]
124,0,tDistribution,"[ 10002.75188593  10003.39983155  10004.29692196 ... 249996.36628715
 249998.89877963 249999.91455234]",[0.64794562 0.89709041 1.68215346 ... 2.53249248 1.01577272 0.87372467]
125,0,tDistribution,"[ 10002.92276351  10003.26288763  10003.66253979 ... 249997.76922276
 249998.1038665  249999.94879425]",[0.34012413 0.39965216 1.7082388  ... 0.33464374 1.84492775 0.97484768]
126,0,tDistribution,"[ 10002.96016417  10003.50705459  10004.60095387 ... 249996.07252003
 249997.44476101 249998.90122533]",[0.54689041 1.09389928 0.295906   ... 1.37224099 1.45646431 1.3386557 ]
