aircraft,throughput,serviceTime,queueLength
aircraft[0].dataLink[727],0.2025,1.8476905258974502e-05,0.074074074074074
aircraft[0].dataLink[729],0.075,1.9792311929822e-05,0.033333333333333
aircraft[0].dataLink[734],0.095,1.7596420289931498e-05,0.052631578947368
aircraft[0].dataLink[740],0.4425,1.78759560127695e-05,0.050847457627119
aircraft[0].dataLink[741],0.0875,1.8093669629558252e-05,0.028571428571429
aircraft[0].dataLink[744],0.1025,1.7638692284903e-05,0.048780487804878
aircraft[0].dataLink[745],0.165,1.80258569601435e-05,0.0
aircraft[0].dataLink[750],0.225,1.800764709516025e-05,0.044444444444444
aircraft[0].dataLink[754],0.0775,1.780245732505825e-05,0.0
aircraft[0].dataLink[756],0.09,1.762099102834375e-05,0.11111111111111
aircraft[0].dataLink[758],0.1,1.8565299595927e-05,0.0
aircraft[0].dataLink[760],0.0975,1.7549773577237e-05,0.025641025641026
aircraft[0].dataLink[765],0.2325,1.7796482216939e-05,0.075268817204301
aircraft[0].dataLink[767],0.1175,1.814120596276325e-05,0.063829787234043
aircraft[0].dataLink[774],0.1075,1.881527267089525e-05,0.2093023255814
aircraft[0].dataLink[775],0.2025,1.773744713875575e-05,0.024691358024691
aircraft[0].dataLink[783],0.075,1.8550847853123748e-05,0.066666666666667
aircraft[0].dataLink[785],0.14,1.765768911700125e-05,0.017857142857143
aircraft[0].dataLink[787],0.1725,1.8144143257839e-05,0.014492753623188
aircraft[0].dataLink[788],0.205,1.88842062711595e-05,0.085365853658537
aircraft[0].dataLink[794],0.0925,1.770057232422275e-05,0.0
aircraft[0].dataLink[799],0.425,1.830273203076e-05,0.035294117647059
aircraft[0].dataLink[803],0.215,1.762481903745875e-05,0.11627906976744
aircraft[0].dataLink[804],0.195,1.7568101568529e-05,0.0
aircraft[0].dataLink[806],0.055,1.8051023152430748e-05,0.0
aircraft[0].dataLink[808],0.095,1.802207026085625e-05,0.0
aircraft[0].dataLink[811],0.44,1.760013567486575e-05,0.056818181818182
aircraft[0].dataLink[813],0.215,1.759936819502125e-05,0.034883720930233
aircraft[0].dataLink[815],0.0975,1.7882429894429248e-05,0.15384615384615
aircraft[0].dataLink[816],0.1225,1.767160781912675e-05,0.0
aircraft[0].dataLink[817],0.0875,1.8540242038643e-05,0.028571428571429
aircraft[0].dataLink[820],0.1075,1.821526792488375e-05,0.023255813953488
aircraft[0].dataLink[823],0.11,1.75919395559055e-05,0.022727272727273
aircraft[0].dataLink[824],0.0925,2.11523869508425e-05,0.027027027027027
aircraft[0].dataLink[825],0.1175,1.8638982347741502e-05,0.12765957446809
aircraft[0].dataLink[830],0.0975,1.7606112902187752e-05,0.076923076923077
aircraft[0].dataLink[832],0.09,1.8270182017727e-05,0.0
aircraft[0].dataLink[833],0.0925,1.75618951994525e-05,0.0
aircraft[0].dataLink[836],0.0875,1.8397748672318998e-05,0.028571428571429
aircraft[0].dataLink[837],0.105,1.759342939426025e-05,0.11904761904762
aircraft[0].dataLink[839],0.1125,1.8439113439494998e-05,0.066666666666667
aircraft[0].dataLink[845],0.19,1.768348815917675e-05,0.013157894736842
aircraft[0].dataLink[848],0.0775,1.763782547115175e-05,0.032258064516129
aircraft[0].dataLink[849],0.1025,1.756779160520125e-05,0.0
aircraft[0].dataLink[852],0.115,1.7824000893563002e-05,0.32608695652174
aircraft[0].dataLink[854],0.0925,1.8195160756780752e-05,0.027027027027027
aircraft[0].dataLink[860],0.125,1.9751000594198503e-05,0.04
aircraft[0].dataLink[863],0.1175,1.803112394153e-05,0.21276595744681
aircraft[0].dataLink[864],0.0875,1.80419337214585e-05,0.0
aircraft[0].dataLink[866],0.3225,1.7769798042152e-05,0.13953488372093
aircraft[0].dataLink[868],0.085,1.7642005217709502e-05,0.0
aircraft[0].dataLink[874],0.1025,1.75627043155535e-05,0.1219512195122
aircraft[0].dataLink[875],0.0975,1.77750391009775e-05,0.025641025641026
aircraft[0].dataLink[878],0.1,1.77882886668895e-05,0.125
aircraft[0].dataLink[882],0.0825,1.8056843814247748e-05,0.15151515151515
aircraft[0].dataLink[893],0.1025,1.764245724338675e-05,0.024390243902439
aircraft[0].dataLink[894],0.1175,1.757964881318925e-05,0.0
aircraft[0].dataLink[895],0.1125,1.83063008894655e-05,0.044444444444444
aircraft[0].dataLink[897],0.105,1.80385195423545e-05,0.071428571428571
aircraft[0].dataLink[901],0.1175,1.795965895508975e-05,0.085106382978723
aircraft[0].dataLink[903],0.11,1.792953764021225e-05,0.022727272727273
aircraft[0].dataLink[907],0.1025,1.7770454066356e-05,0.0
