aircraft,throughput,serviceTime
aircraft[2].dataLink[9],77.8775,1.96120211595355e-05
aircraft[3].dataLink[7],78.195,1.954516571435625e-05
aircraft[0].dataLink[1],78.3425,1.9460890477160752e-05
aircraft[1].dataLink[1],77.3225,1.9577815312504e-05
aircraft[2].dataLink[9],78.5275,1.96282999433505e-05
aircraft[3].dataLink[1],78.1725,1.953654298799475e-05
aircraft[0].dataLink[2],78.0275,1.9505225411559e-05
aircraft[1].dataLink[5],77.615,1.9478140522553e-05
aircraft[2].dataLink[6],78.2175,1.9503779794275748e-05
aircraft[3].dataLink[3],78.08,1.95822323710445e-05
aircraft[0].dataLink[7],79.1625,1.952031082839425e-05
aircraft[1].dataLink[1],78.2125,1.94960842277865e-05
aircraft[2].dataLink[4],77.8175,1.949663879958025e-05
aircraft[3].dataLink[3],77.7675,1.9591383291375502e-05
aircraft[0].dataLink[4],78.0725,1.9498978265543e-05
aircraft[1].dataLink[7],78.07,1.9658123844792752e-05
aircraft[2].dataLink[6],78.1825,1.9616902991249997e-05
aircraft[3].dataLink[6],78.48,1.9427251256248248e-05
aircraft[0].dataLink[6],77.61,1.9349723434016248e-05
aircraft[1].dataLink[3],78.385,1.955605921004125e-05
aircraft[2].dataLink[8],78.43,1.9475758840839e-05
aircraft[3].dataLink[7],77.85,1.938756459998325e-05
aircraft[0].dataLink[3],78.1425,1.9465117466726e-05
aircraft[1].dataLink[8],77.8975,1.9484837778899e-05
aircraft[2].dataLink[8],78.0625,1.95492416030435e-05
aircraft[3].dataLink[2],77.6575,1.9609908406309e-05
aircraft[0].dataLink[8],78.4875,1.941672248296625e-05
aircraft[1].dataLink[0],78.2625,1.9549793030188e-05
aircraft[2].dataLink[5],78.41,1.94256568600405e-05
aircraft[3].dataLink[8],78.6575,1.9392091231699502e-05
aircraft[0].dataLink[9],77.365,1.948136801441175e-05
aircraft[1].dataLink[1],77.3925,1.955890981679225e-05
aircraft[2].dataLink[8],78.09,1.941932622111675e-05
aircraft[3].dataLink[0],78.2475,1.9561891742752748e-05
aircraft[0].dataLink[2],77.4075,1.951745669296125e-05
aircraft[1].dataLink[4],78.3725,1.943794172452375e-05
aircraft[2].dataLink[6],78.53,1.954917447560125e-05
aircraft[3].dataLink[6],78.1775,1.9377854383702e-05
aircraft[0].dataLink[8],78.1325,1.950015044976575e-05
aircraft[1].dataLink[3],78.015,1.953622172368425e-05
aircraft[2].dataLink[2],78.6725,1.938080399611625e-05
aircraft[3].dataLink[4],78.7125,1.961799169636225e-05
aircraft[0].dataLink[9],77.7825,1.9469530728000748e-05
aircraft[1].dataLink[3],77.715,1.957928583744425e-05
aircraft[2].dataLink[6],77.905,1.9553247510478253e-05
aircraft[3].dataLink[5],78.1,1.9451597546575498e-05
aircraft[0].dataLink[0],77.74,1.9519366954172e-05
aircraft[1].dataLink[0],78.325,1.9422544072546752e-05
aircraft[2].dataLink[3],77.505,1.9581452366549748e-05
aircraft[3].dataLink[1],77.975,1.946486652058475e-05
aircraft[0].dataLink[6],77.715,1.95728048175625e-05
aircraft[1].dataLink[3],78.4075,1.9570950329083e-05
aircraft[2].dataLink[8],77.2475,1.946618839027325e-05
aircraft[3].dataLink[8],78.2125,1.9548825452528003e-05
aircraft[0].dataLink[3],78.7075,1.945214591734925e-05
aircraft[1].dataLink[1],76.855,1.942270780929625e-05
aircraft[2].dataLink[0],77.695,1.94537032401715e-05
aircraft[3].dataLink[6],77.8675,1.94763018405835e-05
aircraft[0].dataLink[4],78.3675,1.95776269243065e-05
aircraft[1].dataLink[9],78.48,1.952437567583825e-05
aircraft[2].dataLink[0],78.3525,1.947401543355325e-05
aircraft[3].dataLink[9],77.92,1.946776932022325e-05
aircraft[0].dataLink[4],77.895,1.954245549822525e-05
aircraft[1].dataLink[7],78.0,1.953120061290175e-05
aircraft[2].dataLink[2],77.4125,1.9634477824044253e-05
aircraft[3].dataLink[4],78.8325,1.9459308026663e-05
aircraft[0].dataLink[3],77.76,1.950984854974075e-05
aircraft[1].dataLink[1],78.77,1.957290512531925e-05
aircraft[2].dataLink[9],78.47,1.9514583558935498e-05
aircraft[3].dataLink[0],77.4725,1.9367372667639e-05
aircraft[0].dataLink[9],78.365,1.9488499323890748e-05
aircraft[1].dataLink[7],77.9025,1.9490949457898e-05
aircraft[2].dataLink[4],77.915,1.962273870605125e-05
aircraft[3].dataLink[8],78.0275,1.956273038839175e-05
aircraft[0].dataLink[7],78.4875,1.9531418933324998e-05
aircraft[1].dataLink[4],78.1225,1.9635399303538748e-05
aircraft[2].dataLink[7],78.1625,1.9555055688545248e-05
aircraft[3].dataLink[6],78.685,1.9429534889613748e-05
aircraft[0].dataLink[2],78.545,1.953322228571825e-05
aircraft[1].dataLink[6],78.0275,1.951025861520825e-05
aircraft[2].dataLink[0],78.9725,1.935116083721825e-05
aircraft[3].dataLink[6],78.2025,1.942945116891975e-05
aircraft[0].dataLink[5],78.4825,1.9499111365546248e-05
aircraft[1].dataLink[3],78.0775,1.945961863068875e-05
aircraft[2].dataLink[5],78.665,1.939730779852425e-05
aircraft[3].dataLink[6],76.825,1.95928495977075e-05
aircraft[0].dataLink[9],77.89,1.942257770115175e-05
aircraft[1].dataLink[7],78.015,1.955334003393575e-05
aircraft[2].dataLink[7],77.6575,1.952242895545275e-05
aircraft[3].dataLink[6],78.97,1.948981997358025e-05
aircraft[0].dataLink[5],77.5025,1.9436162335146e-05
aircraft[1].dataLink[2],77.1925,1.958243263521e-05
aircraft[2].dataLink[0],78.27,1.97263533681085e-05
aircraft[3].dataLink[2],77.9425,1.9528669724066498e-05
aircraft[0].dataLink[6],78.2625,1.956197857427375e-05
aircraft[1].dataLink[5],78.8575,1.9464669269570748e-05
aircraft[2].dataLink[2],77.3575,1.9476733455846752e-05
aircraft[3].dataLink[5],78.0225,1.94719262306505e-05
aircraft[0].dataLink[5],78.7775,1.94340617452905e-05
aircraft[1].dataLink[0],78.6225,1.9600254228258747e-05
aircraft[2].dataLink[6],77.86,1.94191674954915e-05
aircraft[3].dataLink[7],77.705,1.945308123081675e-05
aircraft[0].dataLink[3],77.77,1.9610977557654752e-05
aircraft[1].dataLink[5],78.985,1.94876838926725e-05
aircraft[2].dataLink[0],77.4425,1.9556957656937248e-05
aircraft[3].dataLink[1],78.5625,1.9499445220333e-05
aircraft[0].dataLink[6],77.82,1.942147624475975e-05
aircraft[1].dataLink[3],78.2325,1.943737443516975e-05
aircraft[2].dataLink[5],77.975,1.9487768837482e-05
